segment_type,segment,feat1,feat2,interaction,count
all,all,warm_tones,text_overlay,-0.00018830756570151726,380
all,all,warm_tones,price_discount,-0.014710181088277093,45
all,all,warm_tones,brand_logo,0.0001687566045163577,397
all,all,warm_tones,cta,-0.007256845760435444,134
all,all,warm_tones,multiple_items,-0.007350670474824517,252
all,all,warm_tones,main_object_drink,-0.0015773551203781978,50
all,all,warm_tones,main_object_food,-6.396507247045321e-05,304
all,all,warm_tones,main_object_person,0.00430678354704347,119
all,all,warm_tones,food_type_dessert,0.004302279958660499,95
all,all,warm_tones,food_type_fast_food,0.0006749923492677702,73
all,all,warm_tones,food_type_healthy,-0.031164208576944442,17
all,all,warm_tones,food_type_main_dish,-0.017032878869321293,101
all,all,warm_tones,food_type_snack,0.0020652688720861506,94
all,all,warm_tones,drink_type_alcohol,-0.0012035088719118106,57
all,all,warm_tones,drink_type_soda_juice,0.0033097048420636364,45
all,all,warm_tones,drink_type_water_energy,-0.0009815430434681005,10
all,all,warm_tones,person_who_man,-0.003511067999055014,24
all,all,warm_tones,person_who_multiple,0.0008134355079652283,67
all,all,warm_tones,person_who_woman,0.0013760928143200458,26
all,all,warm_tones,person_emotion_positive,-0.003462103231005723,112
all,all,warm_tones,person_action_eating,0.0,38
all,all,warm_tones,person_action_posing,0.0004260316419122744,29
all,all,clean_background,packaged,0.008918445248563332,185
all,all,clean_background,text_overlay,-0.0005247109618173113,282
all,all,clean_background,price_discount,-0.02540815940096511,48
all,all,clean_background,brand_logo,5.625191558534723e-05,285
all,all,clean_background,cta,0.017927629724772402,116
all,all,clean_background,multiple_items,-0.004547997896277161,180
all,all,clean_background,main_object_drink,-0.0004938702633939163,41
all,all,clean_background,main_object_food,8.810313715930402e-05,269
all,all,clean_background,main_object_person,-0.00015772802167931702,27
all,all,clean_background,food_type_dessert,0.00020528764707344156,85
all,all,clean_background,food_type_fast_food,0.005715596165973648,50
all,all,clean_background,food_type_healthy,0.0011497438882869518,17
all,all,clean_background,food_type_main_dish,0.004729208879401855,74
all,all,clean_background,food_type_snack,-0.0006657708517771151,55
all,all,clean_background,drink_type_alcohol,-0.007919594460130268,29
all,all,clean_background,drink_type_soda_juice,-0.001896575131787368,29
all,all,clean_background,person_who_multiple,-0.008454095332433548,11
all,all,clean_background,person_who_woman,0.0,12
all,all,clean_background,person_emotion_positive,-0.00028720705199466773,22
all,all,clean_background,person_action_eating,0.0008327600040464073,6
all,all,clean_background,person_action_posing,0.00025326010353684874,8
all,all,packaged,text_overlay,0.0010205096155420988,284
all,all,packaged,price_discount,-0.023495661128943062,24
all,all,packaged,brand_logo,0.0002445888834197736,353
all,all,packaged,cta,-0.006476992244569804,85
all,all,packaged,multiple_items,-0.006049618541999407,211
all,all,packaged,main_object_drink,0.007734656777244337,61
all,all,packaged,main_object_food,0.0003219258792656099,218
all,all,packaged,main_object_person,-0.004120332352666545,87
all,all,packaged,food_type_dessert,-0.0075148944656708554,76
all,all,packaged,food_type_fast_food,-0.005911222058928743,21
all,all,packaged,food_type_healthy,0.013906554538754787,13
all,all,packaged,food_type_main_dish,0.011518902302232412,47
all,all,packaged,food_type_snack,-0.0008577500697207277,113
all,all,packaged,drink_type_alcohol,0.005197961890033322,43
all,all,packaged,drink_type_coffee_tea,0.0,5
all,all,packaged,drink_type_soda_juice,-0.002147995868129213,41
all,all,packaged,drink_type_water_energy,-0.021080827283787556,17
all,all,packaged,person_who_man,-0.006023384407903555,17
all,all,packaged,person_who_multiple,-0.0008635194309188298,43
all,all,packaged,person_who_woman,0.0006782064331780658,24
all,all,packaged,person_emotion_positive,-0.0038733734959642066,75
all,all,packaged,person_action_eating,0.0010128553007792275,18
all,all,packaged,person_action_posing,0.00014843089409879182,23
all,all,text_overlay,price_discount,0.009922561292202427,58
all,all,text_overlay,brand_logo,0.0006081855059066472,453
all,all,text_overlay,cta,0.03534828134233193,170
all,all,text_overlay,multiple_items,0.0033026845071121524,269
all,all,text_overlay,main_object_drink,-4.227546959931104e-05,68
all,all,text_overlay,main_object_food,-0.0004409405255297318,320
all,all,text_overlay,main_object_person,0.0004616205097220457,125
all,all,text_overlay,food_type_dessert,0.004881187098256722,98
all,all,text_overlay,food_type_fast_food,0.0,72
all,all,text_overlay,food_type_healthy,0.022711094844265915,15
all,all,text_overlay,food_type_main_dish,-0.013269767735533521,102
all,all,text_overlay,food_type_snack,0.0015572300724305314,105
all,all,text_overlay,drink_type_alcohol,0.004823306740192699,75
all,all,text_overlay,drink_type_soda_juice,-0.005274552178636866,40
all,all,text_overlay,drink_type_water_energy,6.0464706716485845e-05,18
all,all,text_overlay,person_who_man,0.0016025325087576606,27
all,all,text_overlay,person_who_multiple,0.00197850164553478,77
all,all,text_overlay,person_who_woman,-0.00026582414562503293,24
all,all,text_overlay,person_emotion_positive,-0.0012177009509306246,115
all,all,text_overlay,person_action_eating,-0.006321613677737766,31
all,all,text_overlay,person_action_posing,-0.0070694293243505684,29
all,all,price_discount,brand_logo,-4.777867190185668e-05,55
all,all,price_discount,cta,0.05875259052924084,49
all,all,price_discount,multiple_items,-0.00036285056910123566,45
all,all,price_discount,main_object_drink,0.0029828703718847664,8
all,all,price_discount,main_object_food,-0.021592922024861506,45
all,all,price_discount,main_object_person,-0.010997682933808591,5
all,all,price_discount,food_type_dessert,-0.07673332407900076,6
all,all,price_discount,food_type_fast_food,-0.02250335676462278,18
all,all,price_discount,food_type_main_dish,-0.06117266855884796,16
all,all,price_discount,food_type_snack,0.00018180960577697294,6
all,all,price_discount,drink_type_alcohol,-0.0212866337860237,6
all,all,price_discount,person_emotion_positive,-0.059986072272715144,5
all,all,brand_logo,cta,0.002026896796792985,157
all,all,brand_logo,multiple_items,-0.0007133873797542068,294
all,all,brand_logo,main_object_drink,-0.0013695700917522062,67
all,all,brand_logo,main_object_food,0.0001881485982955064,341
all,all,brand_logo,main_object_person,0.0,120
all,all,brand_logo,food_type_dessert,0.0016446390903254793,94
all,all,brand_logo,food_type_fast_food,0.009240680726234882,62
all,all,brand_logo,food_type_healthy,0.0004059515999297688,24
all,all,brand_logo,food_type_main_dish,-3.061225104040378e-05,109
all,all,brand_logo,food_type_snack,0.0,118
all,all,brand_logo,drink_type_alcohol,-8.561410020583618e-05,69
all,all,brand_logo,drink_type_coffee_tea,0.0,5
all,all,brand_logo,drink_type_soda_juice,-4.774286464266718e-05,50
all,all,brand_logo,drink_type_water_energy,-6.171812084940822e-05,18
all,all,brand_logo,person_who_man,0.0,24
all,all,brand_logo,person_who_multiple,0.0,70
all,all,brand_logo,person_who_woman,0.0,26
all,all,brand_logo,person_emotion_positive,0.0,103
all,all,brand_logo,person_action_eating,0.0001609580896006325,29
all,all,brand_logo,person_action_posing,0.0,28
all,all,cta,multiple_items,0.01864618723001554,111
all,all,cta,main_object_drink,-0.005961348415218136,24
all,all,cta,main_object_food,-0.0014820025773221999,114
all,all,cta,main_object_person,-0.0037427004732650394,32
all,all,cta,food_type_dessert,-0.026212100729620096,15
all,all,cta,food_type_fast_food,0.0020752552314596924,49
all,all,cta,food_type_healthy,0.030718368937140472,5
all,all,cta,food_type_main_dish,0.003857298748358516,26
all,all,cta,food_type_snack,0.0027595644017033706,35
all,all,cta,drink_type_alcohol,-0.017197624365357857,20
all,all,cta,drink_type_soda_juice,-0.001802722630689246,17
all,all,cta,drink_type_water_energy,-0.004481416844236935,5
all,all,cta,person_who_multiple,-0.0007346198053333174,27
all,all,cta,person_who_woman,-0.00031154697334916884,7
all,all,cta,person_emotion_positive,0.050665728590266086,35
all,all,cta,person_action_eating,0.009456116182210351,8
all,all,cta,person_action_posing,-0.010581646718690826,7
all,all,multiple_items,main_object_drink,-0.009760771461926694,36
all,all,multiple_items,main_object_food,0.001628543327042573,220
all,all,multiple_items,main_object_person,-0.011172554484252997,72
all,all,multiple_items,food_type_dessert,0.0009277558557295862,61
all,all,multiple_items,food_type_fast_food,-0.015170832634001163,51
all,all,multiple_items,food_type_healthy,0.03380111008361152,14
all,all,multiple_items,food_type_main_dish,-0.012754197445129067,56
all,all,multiple_items,food_type_snack,0.000437476171926356,84
all,all,multiple_items,drink_type_alcohol,0.014310002940677581,39
all,all,multiple_items,drink_type_coffee_tea,0.0,5
all,all,multiple_items,drink_type_soda_juice,0.019611359825867834,37
all,all,multiple_items,person_who_man,0.0,12
all,all,multiple_items,person_who_multiple,-0.0006921573258891457,48
all,all,multiple_items,person_who_woman,0.005036106213064804,11
all,all,multiple_items,person_emotion_positive,0.00020362649597782152,64
all,all,multiple_items,person_action_eating,-0.0008020623171563039,20
all,all,multiple_items,person_action_posing,-0.01961765673780142,12
all,all,main_object_drink,drink_type_alcohol,0.009954410278604683,43
all,all,main_object_drink,drink_type_soda_juice,-0.0035867291500500686,33
all,all,main_object_drink,person_who_multiple,0.0006327554616626626,5
all,all,main_object_food,food_type_dessert,-0.0007615990600029239,104
all,all,main_object_food,food_type_fast_food,0.0013230380430142969,73
all,all,main_object_food,food_type_healthy,0.0,26
all,all,main_object_food,food_type_main_dish,0.0009357523179392149,118
all,all,main_object_food,food_type_snack,0.0,77
all,all,main_object_food,drink_type_soda_juice,0.006315754958221102,14
all,all,main_object_food,person_who_multiple,-0.00013939599797337934,8
all,all,main_object_food,person_emotion_positive,0.0,7
all,all,main_object_person,food_type_dessert,-0.0019021674371853263,33
all,all,main_object_person,food_type_fast_food,0.0006180294295421384,6
all,all,main_object_person,food_type_healthy,0.0,5
all,all,main_object_person,food_type_main_dish,0.0,10
all,all,main_object_person,food_type_snack,0.000752685718856766,47
all,all,main_object_person,drink_type_alcohol,-0.006792474928016912,33
all,all,main_object_person,drink_type_soda_juice,-0.00047175243940144343,12
all,all,main_object_person,drink_type_water_energy,0.0,15
all,all,main_object_person,person_who_man,-0.0010443154195855333,28
all,all,main_object_person,person_who_multiple,-0.007201886856987504,65
all,all,main_object_person,person_who_woman,0.003325713538101304,34
all,all,main_object_person,person_emotion_positive,0.0,125
all,all,main_object_person,person_action_eating,0.0,40
all,all,main_object_person,person_action_posing,7.748948373264661e-05,40
all,all,food_type_dessert,person_who_man,0.0,6
all,all,food_type_dessert,person_who_multiple,-0.006129662969482943,6
all,all,food_type_dessert,person_who_woman,0.0,14
all,all,food_type_dessert,person_emotion_positive,0.046784004816671644,25
all,all,food_type_dessert,person_action_eating,-0.003551137136731811,8
all,all,food_type_dessert,person_action_posing,0.009936075817856091,11
all,all,food_type_fast_food,person_who_multiple,0.0,5
all,all,food_type_fast_food,person_emotion_positive,0.0,7
all,all,food_type_fast_food,person_action_eating,-0.003799677701447185,5
all,all,food_type_healthy,drink_type_soda_juice,0.011807678057033252,5
all,all,food_type_main_dish,person_who_multiple,-0.0009930483353357547,8
all,all,food_type_main_dish,person_emotion_positive,0.009217630656627314,14
all,all,food_type_main_dish,person_action_eating,0.0,7
all,all,food_type_snack,person_who_man,-0.0012428271697401156,6
all,all,food_type_snack,person_who_multiple,-0.000643321457441484,21
all,all,food_type_snack,person_who_woman,-0.0005334893391586819,7
all,all,food_type_snack,person_emotion_positive,-0.0002220693385608806,39
all,all,food_type_snack,person_action_eating,0.0022103283382270984,20
all,all,food_type_snack,person_action_posing,0.00023451307614272794,8
all,all,drink_type_alcohol,person_who_man,0.0,11
all,all,drink_type_alcohol,person_who_multiple,-0.0006304286569979896,27
all,all,drink_type_alcohol,person_emotion_positive,-0.0012822147226221813,30
all,all,drink_type_alcohol,person_action_posing,-0.0011368822915719754,9
all,all,drink_type_soda_juice,person_who_multiple,0.0036845430539771454,5
all,all,drink_type_soda_juice,person_emotion_positive,0.0,9
all,all,drink_type_water_energy,person_who_multiple,0.0,10
all,all,drink_type_water_energy,person_who_woman,-0.00139740453516792,5
all,all,drink_type_water_energy,person_emotion_positive,-0.008881751878224901,13
all,all,person_who_man,person_emotion_positive,0.005982024070462853,19
all,all,person_who_man,person_action_posing,-5.453195824913051e-05,11
all,all,person_who_multiple,person_emotion_positive,0.00035385657243499957,71
all,all,person_who_multiple,person_action_eating,0.0,16
all,all,person_who_multiple,person_action_posing,-0.009377639997559134,10
all,all,person_who_woman,person_emotion_positive,-0.001380770305901324,31
all,all,person_who_woman,person_action_eating,-0.0008530801723483977,9
all,all,person_who_woman,person_action_posing,0.008514500551188403,18
all,all,person_emotion_positive,person_action_eating,-0.005028979384681686,39
all,all,person_emotion_positive,person_action_posing,-0.00044348827342055575,38
food,fast_food,has_person,warm_tones,0.011914939031841204,9
food,fast_food,has_person,text_overlay,-0.0012742622233500257,9
food,fast_food,has_person,brand_logo,-0.0008890959907088119,8
food,fast_food,has_person,cta,0.04559331343380139,7
food,fast_food,has_person,multiple_items,-0.0016349501606874924,5
food,fast_food,has_person,main_object_person,0.001154005544264856,6
food,fast_food,has_person,food_type_fast_food,-0.036337310530917225,10
food,fast_food,has_person,person_who_multiple,0.0,5
food,fast_food,has_person,person_emotion_positive,0.0017731880113760084,7
food,fast_food,has_person,person_action_eating,0.0,5
food,fast_food,close_up,top_down,0.0006771323477971561,6
food,fast_food,close_up,warm_tones,-0.002877491477907992,41
food,fast_food,close_up,clean_background,-0.0028563785440466273,26
food,fast_food,close_up,packaged,0.005410054074113411,9
food,fast_food,close_up,text_overlay,-0.002045600549421566,38
food,fast_food,close_up,price_discount,-0.11751554583948716,17
food,fast_food,close_up,brand_logo,0.000434657397848772,35
food,fast_food,close_up,cta,0.018155685370576054,28
food,fast_food,close_up,multiple_items,-0.008775288564508004,26
food,fast_food,close_up,main_object_food,0.0012538888606210819,42
food,fast_food,close_up,food_type_fast_food,0.0026877170119939293,43
food,fast_food,top_down,warm_tones,-0.005683925614070768,10
food,fast_food,top_down,clean_background,-0.0030747705866705425,7
food,fast_food,top_down,text_overlay,-0.0005877675410911154,9
food,fast_food,top_down,brand_logo,0.001113645193759432,8
food,fast_food,top_down,cta,0.006494725648095245,8
food,fast_food,top_down,multiple_items,-0.016023409867418386,5
food,fast_food,top_down,main_object_food,-0.0005228755619577057,10
food,fast_food,top_down,food_type_fast_food,-0.025947308207793736,10
food,fast_food,warm_tones,clean_background,-0.0010712279804027916,49
food,fast_food,warm_tones,packaged,-0.011204577132960341,18
food,fast_food,warm_tones,text_overlay,1.9289556901433122e-05,67
food,fast_food,warm_tones,price_discount,-0.01676793315601763,18
food,fast_food,warm_tones,brand_logo,0.0001380138703748752,57
food,fast_food,warm_tones,cta,-0.009130003976031632,47
food,fast_food,warm_tones,multiple_items,-0.00515178319392328,46
food,fast_food,warm_tones,main_object_food,-7.04170745549395e-05,68
food,fast_food,warm_tones,main_object_person,0.0027794232187095956,5
food,fast_food,warm_tones,food_type_fast_food,0.0006749923492677702,73
food,fast_food,warm_tones,person_who_multiple,0.0009084421911574854,5
food,fast_food,warm_tones,person_emotion_positive,-0.0037473104105884927,6
food,fast_food,clean_background,packaged,0.008541115247279253,9
food,fast_food,clean_background,text_overlay,-0.00021972505382016145,50
food,fast_food,clean_background,price_discount,-0.02839590275914824,14
food,fast_food,clean_background,brand_logo,0.00019424528323612852,39
food,fast_food,clean_background,cta,0.02002868677125784,38
food,fast_food,clean_background,multiple_items,-0.00610961798090163,36
food,fast_food,clean_background,main_object_food,9.057897069372425e-05,49
food,fast_food,clean_background,food_type_fast_food,0.005715596165973648,50
food,fast_food,packaged,text_overlay,0.0009352346014098087,18
food,fast_food,packaged,brand_logo,0.00013179165877000908,20
food,fast_food,packaged,cta,0.00023576217949354333,7
food,fast_food,packaged,multiple_items,-0.006161041660234456,13
food,fast_food,packaged,main_object_food,0.00033268515590243743,20
food,fast_food,packaged,food_type_fast_food,-0.005911222058928743,21
food,fast_food,text_overlay,price_discount,0.009672279773692968,18
food,fast_food,text_overlay,brand_logo,0.0006911529222791277,60
food,fast_food,text_overlay,cta,0.03573811740004765,49
food,fast_food,text_overlay,multiple_items,0.002906197763414088,49
food,fast_food,text_overlay,main_object_food,-0.00038986662852856567,67
food,fast_food,text_overlay,main_object_person,0.00015265988431422558,5
food,fast_food,text_overlay,food_type_fast_food,0.0,72
food,fast_food,text_overlay,person_who_multiple,0.0027106729028924794,5
food,fast_food,text_overlay,person_emotion_positive,-0.0004555846729277822,6
food,fast_food,price_discount,brand_logo,-0.0003941575899160872,18
food,fast_food,price_discount,cta,0.06758676399612326,15
food,fast_food,price_discount,multiple_items,-0.005926413826044566,15
food,fast_food,price_discount,main_object_food,-0.019209768093837183,18
food,fast_food,price_discount,food_type_fast_food,-0.02250335676462278,18
food,fast_food,brand_logo,cta,0.002103083537576092,46
food,fast_food,brand_logo,multiple_items,-0.0022330048013477254,45
food,fast_food,brand_logo,main_object_food,0.00012452822162533383,58
food,fast_food,brand_logo,food_type_fast_food,0.009240680726234882,62
food,fast_food,brand_logo,person_who_multiple,0.0,5
food,fast_food,brand_logo,person_emotion_positive,0.0,5
food,fast_food,cta,multiple_items,0.018671999235990142,36
food,fast_food,cta,main_object_food,-0.00159391638280964,45
food,fast_food,cta,food_type_fast_food,0.0020752552314596924,49
food,fast_food,cta,person_emotion_positive,0.05157752755290268,5
food,fast_food,multiple_items,main_object_food,0.001477449247118483,48
food,fast_food,multiple_items,food_type_fast_food,-0.015170832634001163,51
food,fast_food,main_object_food,food_type_fast_food,0.0013230380430142969,73
food,fast_food,main_object_person,food_type_fast_food,0.0006180294295421384,6
food,fast_food,main_object_person,person_emotion_positive,0.0,6
food,fast_food,main_object_person,person_action_eating,0.0,5
food,fast_food,food_type_fast_food,person_who_multiple,0.0,5
food,fast_food,food_type_fast_food,person_emotion_positive,0.0,7
food,fast_food,food_type_fast_food,person_action_eating,-0.003799677701447185,5
food,fast_food,person_emotion_positive,person_action_eating,-0.0030588670741957653,5
food,dessert,has_person,close_up,0.1639760630756477,13
food,dessert,has_person,warm_tones,0.00395718363531226,22
food,dessert,has_person,packaged,0.0031979541230674354,11
food,dessert,has_person,text_overlay,-0.006619799766002884,21
food,dessert,has_person,brand_logo,-0.00011939515355494253,12
food,dessert,has_person,multiple_items,0.0053632494458181286,7
food,dessert,has_person,main_object_person,0.0016443561749000806,31
food,dessert,has_person,food_type_dessert,-0.04900695292886333,31
food,dessert,has_person,person_who_man,-0.003033564484374311,6
food,dessert,has_person,person_who_multiple,0.0,6
food,dessert,has_person,person_who_woman,-0.00020886079422927087,14
food,dessert,has_person,person_emotion_positive,0.004095709765383547,25
food,dessert,has_person,person_action_eating,0.0,8
food,dessert,has_person,person_action_posing,-0.00015402491529553948,11
food,dessert,close_up,top_down,0.0019530562571349692,12
food,dessert,close_up,warm_tones,0.0002538443056742265,57
food,dessert,close_up,clean_background,-0.0046212057121805825,58
food,dessert,close_up,packaged,0.0064548540395443325,44
food,dessert,close_up,text_overlay,-0.002848134999947331,56
food,dessert,close_up,price_discount,-0.136301863813664,5
food,dessert,close_up,brand_logo,-0.00024732127296586465,57
food,dessert,close_up,cta,0.003990500701473483,6
food,dessert,close_up,multiple_items,-0.0021748606958077164,29
food,dessert,close_up,main_object_food,0.00011152325918345536,68
food,dessert,close_up,main_object_person,0.05653658325682804,13
food,dessert,close_up,food_type_dessert,0.0753219624411546,81
food,dessert,close_up,person_who_woman,0.0037719080511439793,8
food,dessert,close_up,person_emotion_positive,0.0319743710486962,11
food,dessert,close_up,person_action_posing,-0.0011359673672401726,5
food,dessert,top_down,warm_tones,-0.006444995113454377,15
food,dessert,top_down,clean_background,-0.0022080825404620793,12
food,dessert,top_down,packaged,0.005245464165172197,11
food,dessert,top_down,text_overlay,-0.0013333200561173146,7
food,dessert,top_down,brand_logo,0.0017534184429653145,12
food,dessert,top_down,multiple_items,-0.022599422195953178,7
food,dessert,top_down,main_object_food,-0.0005937373660008144,16
food,dessert,top_down,food_type_dessert,-0.0013362098759720639,16
food,dessert,warm_tones,clean_background,3.311320565922943e-05,55
food,dessert,warm_tones,packaged,-0.007090106641854448,53
food,dessert,warm_tones,text_overlay,-0.00036044448787337453,69
food,dessert,warm_tones,brand_logo,0.00017815380746563728,68
food,dessert,warm_tones,cta,-0.011815844532228925,11
food,dessert,warm_tones,multiple_items,-0.005267940168639292,45
food,dessert,warm_tones,main_object_food,-5.859819713400968e-05,73
food,dessert,warm_tones,main_object_person,0.005509139696895365,22
food,dessert,warm_tones,food_type_dessert,0.004302279958660499,95
food,dessert,warm_tones,person_who_multiple,0.0006607766571408901,6
food,dessert,warm_tones,person_who_woman,0.0014732658106477948,9
food,dessert,warm_tones,person_emotion_positive,-0.006390152908188888,19
food,dessert,warm_tones,person_action_eating,0.0,8
food,dessert,warm_tones,person_action_posing,0.00010319300796727236,6
food,dessert,clean_background,packaged,0.008973926693471248,53
food,dessert,clean_background,text_overlay,-0.0008815055911541474,64
food,dessert,clean_background,price_discount,-0.025368788506701778,5
food,dessert,clean_background,brand_logo,-0.0006018707364224483,69
food,dessert,clean_background,cta,0.019120132390041636,9
food,dessert,clean_background,multiple_items,-0.004427176735440941,43
food,dessert,clean_background,main_object_food,0.00017354102835281522,79
food,dessert,clean_background,main_object_person,-6.888542592425034e-05,6
food,dessert,clean_background,food_type_dessert,0.00020528764707344156,85
food,dessert,packaged,text_overlay,0.0006646370770482879,55
food,dessert,packaged,brand_logo,0.0005964225410048541,70
food,dessert,packaged,cta,0.001703228185988932,8
food,dessert,packaged,multiple_items,-0.005967843869540875,45
food,dessert,packaged,main_object_food,0.0002695697076134106,65
food,dessert,packaged,main_object_person,-0.002944156863503949,11
food,dessert,packaged,food_type_dessert,-0.0075148944656708554,76
food,dessert,packaged,person_who_woman,0.0007597367469322399,7
food,dessert,packaged,person_emotion_positive,-0.00015876595576817747,9
food,dessert,text_overlay,price_discount,0.01046327371445309,6
food,dessert,text_overlay,brand_logo,0.0004988815056706643,77
food,dessert,text_overlay,cta,0.03311381701288221,15
food,dessert,text_overlay,multiple_items,0.0038330262835930707,43
food,dessert,text_overlay,main_object_food,-0.00047000382248153864,75
food,dessert,text_overlay,main_object_person,7.204002078774866e-05,23
food,dessert,text_overlay,food_type_dessert,0.004881187098256722,98
food,dessert,text_overlay,person_who_man,0.0020266023671606376,6
food,dessert,text_overlay,person_who_multiple,0.0011499281878193097,5
food,dessert,text_overlay,person_who_woman,-0.0003015712055916423,7
food,dessert,text_overlay,person_emotion_positive,-0.006204103016976318,15
food,dessert,text_overlay,person_action_posing,-0.006560096421041153,8
food,dessert,price_discount,main_object_food,-0.022743642835779843,6
food,dessert,price_discount,food_type_dessert,-0.07673332407900076,6
food,dessert,brand_logo,cta,0.0012726210769787533,11
food,dessert,brand_logo,multiple_items,-0.0005393361583117517,49
food,dessert,brand_logo,main_object_food,0.00010584711596734437,82
food,dessert,brand_logo,main_object_person,0.0,12
food,dessert,brand_logo,food_type_dessert,0.0016446390903254793,94
food,dessert,brand_logo,person_who_woman,0.0,5
food,dessert,brand_logo,person_emotion_positive,0.0,7
food,dessert,cta,multiple_items,0.014663934778369666,7
food,dessert,cta,main_object_food,-0.0006970208165370789,12
food,dessert,cta,food_type_dessert,-0.026212100729620096,15
food,dessert,multiple_items,main_object_food,0.0017076364515510407,52
food,dessert,multiple_items,main_object_person,-0.014936638693372833,9
food,dessert,multiple_items,food_type_dessert,0.0009277558557295862,61
food,dessert,main_object_food,food_type_dessert,-0.0007615990600029239,104
food,dessert,main_object_person,food_type_dessert,-0.0019021674371853263,33
food,dessert,main_object_person,person_who_man,-0.0010334371056524238,6
food,dessert,main_object_person,person_who_multiple,-0.0062328662717134236,6
food,dessert,main_object_person,person_who_woman,0.004191269761542479,14
food,dessert,main_object_person,person_emotion_positive,0.0,25
food,dessert,main_object_person,person_action_eating,0.0,8
food,dessert,main_object_person,person_action_posing,4.458444830306818e-05,11
food,dessert,food_type_dessert,person_who_man,0.0,6
food,dessert,food_type_dessert,person_who_multiple,-0.006129662969482943,6
food,dessert,food_type_dessert,person_who_woman,0.0,14
food,dessert,food_type_dessert,person_emotion_positive,0.046784004816671644,25
food,dessert,food_type_dessert,person_action_eating,-0.003551137136731811,8
food,dessert,food_type_dessert,person_action_posing,0.009936075817856091,11
food,dessert,person_who_man,person_emotion_positive,0.0063528274191879935,5
food,dessert,person_who_multiple,person_emotion_positive,0.00027174421420565346,6
